3x3_Replace_Notraffic_RandomLoc
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,2,2,2
2,2,2,2
3,2.33333,2.33333,2.33333
4,2.25,2.25,2.25
6,2.33333,2.83333,2.5
8,2.625,3,2.75
12,2.58333,2.66667,2.83333
16,2.6875,2.875,2.8125
24,3,2.83333,2.83333
32,3.34375,3.15625,3.03125
48,4.3125,4.39583,4.1875
64,4.84375,4.82812,4.42188
96,5.92708,6.4375,5.88542
128,7.21094,7.55469,7.0625
192,9.25521,10.2917,9.39583
256,12.0977,13.7422,12.4727
384,17.3281,18.8203,17.6224
512,21.998,24.123,22.9121
768,31.8034,34.6589,33.5898
1024,41.5264,45.7988,44.1182
