5x5_Replace_100%trafficAlg3_Random
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,4,4,4
2,4,4,4
3,2.66667,3,3
4,2.25,2.25,2.25
6,3.5,3.5,3.33333
8,4.875,4.625,4.375
12,3.83333,3.75,3.58333
16,4.125,4.1875,4.0625
24,5.04167,5.04167,4.375
32,5.03125,4.9375,4.71875
48,5.77083,5.54167,5.58333
64,6.625,7.14062,6.375
96,7.75,9.16667,8.07292
128,9.80469,11.3438,10.2422
192,14.0365,16.0625,14.7292
256,19.1719,22.5547,20.2422
384,27.2135,31.9635,29.2109
512,33.5723,38.2363,36.291
768,45.9284,49.3411,48.1966
1024,62.2314,66.8359,64.2041
