5x5_Replace_500%traffic_Random
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,1,1,1
2,5,5.5,5.5
3,4.66667,4.66667,4.33333
4,2.75,3,3.25
6,5.16667,5.33333,5.16667
8,4.25,5.5,4.75
12,5.33333,4.83333,4.66667
16,8,6.9375,6.0625
24,7.875,8.45833,8.33333
32,8.59375,9.15625,7.90625
48,12.6667,12.5417,11.4792
64,13.75,16.5156,15.0781
96,20.9271,21.9688,20.4167
128,22.9844,24.875,23.8828
192,37.6198,42.3646,39.1823
256,45.7578,49.9766,48.0039
384,66.2109,72.3203,69.0833
512,89.2617,97.0449,95.5078
768,138.826,151.379,145.012
1024,172.892,188.733,184.577
