5x5_Replace_Notraffic_Ring
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,3,3,3
2,3,3,3
3,4.66667,4.66667,4.66667
4,6.5,5.5,5.5
6,5.33333,5.33333,5.16667
8,5,5.25,5
12,4.91667,5.08333,4.58333
16,4.4375,4.5625,4.375
24,4.33333,4.375,4.125
32,4.75,5,4.6875
48,5.10417,5.125,4.89583
64,5.60938,5.67188,5.07812
96,6.42708,6.82292,5.89583
128,7.71875,7.76562,6.67969
192,9.86979,9.23958,8.09375
256,12,10.8828,9.87891
384,15.6198,14.0104,12.4453
512,19.541,18.166,15.8438
768,27.125,25.5534,21.8021
1024,36.041,33.8711,28.1973
