5x5_Replace_Notraffic_RushHour
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,4,4,4
2,5.5,5.5,5.5
3,6.33333,6,6
4,6.25,6.25,6
6,6.16667,6.33333,5.83333
8,6.625,7,5.875
12,7.75,7.83333,6.66667
16,7.5625,7.5,6.375
24,8.66667,8.79167,7.25
32,10.125,10.5625,8.6875
48,13.1458,13.9375,10.6875
64,15.0625,16.7969,13.2188
96,18.9271,21.9479,17.2188
128,23.2578,28.5391,21.1641
192,30.8073,40.6354,28.8177
256,38.2578,52.5547,36.4961
384,53.8646,70.6849,51.6901
512,67.8164,91.0762,65.4727
768,97.2292,136.065,93.1654
1024,126.273,180.326,121.83
