10x10_Replace_100%trafficAlg3_Random
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,5,5,5
2,9.5,9.5,9.5
3,5.33333,5.33333,5.33333
4,4.75,4.75,4.75
6,6.66667,6.66667,6.66667
8,5.625,5.125,5.125
12,7.08333,6.91667,6.83333
16,7.4375,7.1875,7.3125
24,5.66667,5.91667,5.75
32,6.8125,6.59375,6.375
48,7.79167,7.95833,7.25
64,8.25,8.79688,7.89062
96,9.26042,10.9896,8.98958
128,10.6562,12.8359,10.3047
192,12.5417,15.2188,12.2031
256,14.1641,16.8398,14.043
384,19.0677,22.2812,18.388
512,24.1738,29.2988,23.4727
768,32.3594,39.7904,32.9076
1024,40.9082,48.4736,40.5596
