3x3_Replace_Notraffic_Ring
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,1,1,1
2,1.5,1.5,1.5
3,1.66667,1.66667,1.66667
4,1.75,1.75,1.75
6,1.66667,1.66667,1.66667
8,2.625,2.375,2.375
12,2.16667,2.33333,2.33333
16,2.625,2.6875,2.75
24,2.58333,2.5,2.41667
32,3.03125,3.03125,2.90625
48,3.6875,3.5625,3.47917
64,4.29688,4.125,3.9375
96,5.97917,5.07292,4.70833
128,8.0625,6.76562,6.02344
192,10.8125,8.89062,8.02083
256,13.1367,11,10.0156
384,18.3828,16.1953,13.9714
512,22.9785,20.1992,17.9238
768,32.9987,30.3633,25.901
1024,44.6787,41.1445,35.085
