3x3_Replace_Notraffic_RushHour
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,3,3,3
2,3,2.5,2.5
3,3,2.66667,2.66667
4,3,2.75,2.75
6,3,3,3
8,3.625,3.25,3.25
12,4.41667,4.5,4.33333
16,5.625,4.9375,4.8125
24,6.33333,6.875,6.08333
32,7.84375,8.71875,7.875
48,10.8958,12.25,10.75
64,14.375,15.4844,14.0312
96,20.1979,23.0729,20.625
128,25.7891,29.5156,26.4922
192,36.0312,44.3594,38.375
256,46.7656,57.957,49.8672
384,68.2552,86.5573,72.2682
512,88.8965,114.221,94.2637
768,131.513,171.712,139.876
1024,174.331,231.177,183.694
