5x5_Replace_100%traffic_Random
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,1,1,1
2,4.5,4,4
3,4.66667,4.33333,4.33333
4,4,3.5,3.5
6,4.33333,3.83333,3.83333
8,3.875,4.125,4
12,3.16667,3.41667,3.33333
16,3.9375,3.875,3.875
24,4.66667,4.33333,4.125
32,5.5625,5.0625,4.78125
48,6.72917,6.83333,6.29167
64,7.35938,7.53125,7.0625
96,9.34375,10.6771,9.36458
128,11.1172,14.1406,11.8125
192,15.9792,17.6667,15.875
256,19.4023,21.9805,19.4336
384,23.9922,28.7995,25.5547
512,32.6484,37.877,34.3555
768,49.1497,54.1328,50.6589
1024,61.5391,68.3359,64.7109
